;publico;renda;ano_cinematografico;tempo_exibicao2;internacional_nacional_Nacional;genero_Animação;genero_Documentário;genero_Ficção;genero_Não Classificada;genero_Vídeomusical;distribuidoras2_major;distribuidoras2_media;distribuidoras2_menores;log_renda
184;2202640;18978259.88;2009;102;1;0;0;1;0;0;0;1;0;16.75880466517274
189;2149681;17483513.0;2009;108;0;0;0;1;0;0;1;0;0;16.676768880539434
192;2113681;19340259.6;2011;102;0;0;0;1;0;0;0;1;0;16.777699470856938
194;2104863;17682265.01;2011;114;0;0;0;1;0;0;0;1;0;16.688072718393542
196;2083246;18691102.0;2009;102;0;0;0;1;0;0;1;0;0;16.743558139705325
199;2058574;19461084.5;2015;258;0;1;0;0;0;0;0;1;0;16.783927362871243
203;2005439;16026375.0;2010;144;0;0;0;1;0;0;1;0;0;16.58974636052224
204;1989228;17735404.25;2011;102;0;0;0;1;0;0;0;1;0;16.69107343984043
207;1966736;18657595.2;2011;138;1;0;0;1;0;0;1;0;0;16.741763870480355
208;1961790;18192334.0;2011;114;0;1;0;0;0;0;1;0;0;16.716510854522475
210;1936376;18649185.7;2012;90;0;0;0;1;0;0;0;1;0;16.741313040902487
211;1917140;19317017.39;2015;78;0;0;0;1;0;0;0;1;0;16.776496995431334
217;1866403;16497260.61;2010;210;1;0;0;1;0;0;0;1;0;16.618704901450997
218;1852602;17622397.79;2011;114;0;0;0;1;0;0;0;1;0;16.68468125264172
222;1794210;16599104.63;2011;90;0;0;0;1;0;0;0;1;0;16.62485931392026
225;1784311;18737840.0;2012;90;0;0;0;1;0;0;1;0;0;16.74605556665865
227;1780406;17467522.0;2011;138;0;0;0;1;0;0;1;0;0;16.675853828889846
230;1764821;15758293.0;2009;108;0;0;0;1;0;0;1;0;0;16.57287732434508
233;1729539;15692076.12;2012;186;0;0;0;1;0;0;1;0;0;16.568666437179242
237;1716774;18673695.63;2014;84;1;0;0;1;0;0;0;1;0;16.74262644076069
238;1715763;18253649.24;2013;78;1;0;0;1;0;0;0;1;0;16.719875576359932
240;1683065;15262450.0;2010;102;0;0;0;1;0;0;1;0;0;16.540906121392457
243;1625864;10859504.0;2009;108;0;1;0;0;0;0;1;0;0;16.20055119923553
244;1617696;17383281.0;2016;90;0;0;0;1;0;0;1;0;0;16.671019440191913
246;1602111;19199490.0;2015;102;0;0;0;1;0;0;1;0;0;16.77039427414522
247;1577212;17098242.5;2013;96;0;0;0;1;0;0;0;1;0;16.654486238413114
248;1575479;19903346.5;2013;108;0;0;0;1;0;0;0;1;0;16.80639844138558
249;1568702;16362849.0;2010;96;0;0;0;1;0;0;1;0;0;16.610524018231803
250;1564886;17955118.0;2015;102;0;0;0;1;0;0;1;0;0;16.703385757606245
251;1547241;19436961.5;2012;120;0;1;0;0;0;0;0;1;0;16.782687043339894
252;1543953;14265925.0;2010;72;0;0;0;1;0;0;1;0;0;16.473384384551288
253;1538081;17325098.0;2013;60;0;0;0;1;0;0;1;0;0;16.6676667595899
254;1537946;15576462.0;2012;66;0;0;0;1;0;0;1;0;0;16.561271486611243
256;1525889;13087433.62;2011;102;0;0;0;1;0;0;0;1;0;16.387163062132785
257;1498453;13058876.7;2011;78;0;0;0;1;0;0;0;1;0;16.38497866739367
258;1485498;12832975.18;2011;186;1;0;0;1;0;0;0;1;0;16.367528602148518
259;1480960;19132457.6;2015;90;0;0;0;1;0;0;1;0;0;16.76689680153936
260;1474442;13200367.0;2010;102;0;0;0;1;0;0;0;1;0;16.395755190200404
261;1469772;15560125.66;2014;126;1;0;0;1;0;0;0;1;0;16.560222152517387
263;1460499;13119561.5;2009;120;0;0;0;1;0;0;0;1;0;16.389614918665583
264;1460494;14654783.8;2015;84;1;0;0;1;0;0;0;1;0;16.50027737937416
265;1458321;12062074.0;2009;84;0;0;0;1;0;0;1;0;0;16.305576707943576
266;1455823;14354733.74;2011;108;0;0;0;1;0;0;1;0;0;16.47959032312425
267;1450720;13110147.0;2012;198;0;1;0;0;0;0;1;0;0;16.388897068491666
268;1441120;18871878.0;2013;78;0;0;0;1;0;0;1;0;0;16.753183435445106
269;1433588;12931664.99;2011;78;0;0;0;1;0;0;0;1;0;16.375189511986186
270;1430951;16399171.76;2011;108;0;0;0;1;0;0;0;1;0;16.61274138908011
271;1430854;13785065.25;2010;132;0;1;0;0;0;0;0;1;0;16.43909633583471
272;1429862;15888595.19;2014;77;1;0;0;1;0;0;0;1;0;16.581112126171668
274;1427285;17213493.0;2011;90;0;0;0;1;0;0;1;0;0;16.661204110986816
